Titres opération et projet lauréat,Thématique
"Des kiosques pour faire la fête Promenade Péreire - Mal Juin / Rennequin, Kiosque à musique",Cadre de vie
Des jardins sur les murs Des jardins sur les murs / 75009 - mur végétalisé 9 RUE AMBROISE THOMAS,Environnement
Des jardins sur les murs Des jardins sur les murs / 75010 - mur végétalisé 28 rue du Château Landon,Environnement
Conquête végétale du 10ème arrondissement Conquête végétale du 10ème arrondissement / Installer des jardinières sur les trottoirs de la rue Vicq d’Azir,Environnement
Les œuvres d'art investissent la rue Shaka,Culture et patrimoine
De l’art dans mon quartier : des rues hautes en couleur Installation oeuvre espace public,Culture et patrimoine
Rendre plus convivial le pont Louis-Philippe Faire vivre l'espace du Pont Louis Philippe,Cadre de vie
Rénover/ améliorer la protection thermique des écoles Isolation thermique école maternelle RICAUD,Education et jeunesse
Réaménager le parc Georges Brassens Réaménager le parc Georges Brassens,Cadre de vie
Embellissement du jardin ludique de la Cabane Davout (37 boulevard Davout) Embellisement du jardin ludique de la Cabane Davout,Cadre de vie
Développer l'aide aux personnes en situation de précarité Appel à Projet DRIHL,Solidarités
Remise en eau - Fontaines porte de Saint-Cloud Rénovation des fontaines de la porte de Saint-Cloud,Cadre de vie
Jeux et loisirs dans les parcs et squares du 15e Des tables de tennis de table dans les jardins du 15e,Cadre de vie
"En piste, encore plus d'aménagements cyclables En piste /porte de Courcelles",Mobilités
"En piste, encore plus d'aménagements cyclables En piste/Porte de Champerret",Mobilités
Plus de bancs dans le 19e 39 rue des Bois,Cadre de vie
Hôtel aux insectes dans les jardins et parcs du 7e Hôtel insectes Promenade d'Australie,Environnement
Des toilettes rénovées pour tous les élèves du 12e Sanitaires école élémentaire GENERAL BIZOT,Education et jeunesse
Rénover les toilettes dans les écoles Sanitaires école élémentaire FAGON,Education et jeunesse
Des cantines rénovées et insonorisées pour les écoles du 12e Réfectoire GP JEAN BOUTON,Education et jeunesse
"Pour un arrondissement « treize accessible » aux personnes en situation de handicap, à mobilité réduite Pour un arrondissement « treize » accessible aux personnes handicapées,  à mobilité réduite",Mobilités
Alimentation : du gaspillage au partage Excellents Excédents - Un véhicule propre au service de la ramasse d'invendus alimentaires,Solidarités
Sécuriser les chemins des écoles du 12e Sécurisation traversée piétonne Crèche familiale Daumesnil/Diderotr les chemins des écoles du 12e,Prévention et sécurité
Coworking étudiants-entrepreneurs Coworking Robot Lab,Attractivité et emploi
Plus de sport dans le 15e Tennis TEP Mourlon,Sport
Trier ses déchets au plus près Colonne à verre enterrée - Place José Rizal (9e),Propreté
Trier ses déchets au plus près Colonne à verre enterrée Place Blanche (9e),Propreté
Des fontaines à boire dans tout Paris Fontaine pétillante Square Séverine,Cadre de vie
Des fontaines à boire dans tout Paris Des fontaines à boire dans tout Paris Fontaine Borne 033,Cadre de vie
Des fontaines à boire dans tout Paris Des fontaines à boire dans tout Paris Fontaine Arceau 037,Cadre de vie
Des fontaines à boire dans tout Paris Des fontaines à boire dans tout Paris Fontaine Arceau 039,Cadre de vie
Espaces de travail publics Espaces de travail publics - La Permanence,Education et jeunesse
Du vert pour le 13e Du vert pour le 13e /3-Installer 15 pots géants sur 3 sites à différents endroits du quartier Masséna-Jeanne d’Arc en lien avec le Conseil de quartier,Environnement
Rue aux enfants - Rue Stanislas 6e,Cadre de vie
Rue aux enfants - Passage Rebière 17e,Cadre de vie
Agir en faveur de la vitalité associative des quartiers populaires ! Quartier Soleil,Solidarités
Agir en faveur de la vitalité associative des quartiers populaires ! Ecoute Interculturelle dans un Dispostif Inter Psy (EIDIP),Solidarités
Agir en faveur de la vitalité associative des quartiers populaires ! Lucarne,Solidarités
Agir en faveur de la vitalité associative des quartiers populaires ! CQFD,Solidarités
Agir en faveur de la vitalité associative des quartiers populaires ! MACAO écritures - EVS l'Escale,Solidarités
Agir en faveur de la vitalité associative des quartiers populaires ! Crescendo - Maison du Bas Belleville,Solidarités
La reconquête de la Petite Ceinture La reconquête de la Petite Ceinture / Aménagement PC16,Cadre de vie
La reconquête de la Petite Ceinture La reconquête de la Petite Ceinture / Aménagement PC17,Cadre de vie
Du vert à tous les étages Crèche Delbet 10 rue Delbet 14e,Environnement
Cultiver en ville Ferme du square Alain-Bashung,Environnement
"Développer l'aide aux personnes en situation de précarité Réaménagement de l'accueil de jour ""Coeur du Cinq""",Solidarités
Alimentation : du gaspillage au partage épicerie Kilogramme,Solidarités
Nettoyer plus facilement le Canal Saint-Martin Nettoyer plus facilement le Canal Saint-Martin,Propreté
Un 1er incubateur jeunes pour faire vivre leurs idées Un 1er incubateur jeunes pour faire vivre leurs idées,Education et jeunesse
Rénovation au rez-de-chaussée de l'école Boursault Rénovation au rez-de-chaussée de l'école Boursault,Education et jeunesse
Embellir la Pelouse de Reuilly Embellir la Pelouse de Reuilly / Rénovation des entrées de la pelouse de Reuilly,Environnement
De l'art pour nos enfants Fresque Maternelle Rouvier,Education et jeunesse
Renouveau au Parc Monceau ! Renouveau au Parc Monceau ! / Restaurer et rénover la pyramide du parc Monceau,Cadre de vie
Rénover et rendre accessibles les équipements sportifs du 5e Gymnase Buffon,Sport
Rénover et rendre accessibles les équipements sportifs du 5e CPA Censier,Sport
+ de commerces dans les quartiers populaires AAP pour le soutien au commerce de proximité,Attractivité et emploi
Cultiver dans les écoles Cultiver dans les écoles / Ecole 1/3,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 2/3,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 4/4,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 7/7,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 2/12,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 3/12,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 3/17,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 17/17,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 2/23,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 22/23,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 3/11,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 11/20,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 2/30,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 3/30,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 24/30,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 32,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 38,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 48,Education et jeunesse
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 21,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 45,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 86,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Batterie Souffleuses électriques 14,Propreté
Du matériel de nettoiement silencieux et non polluant Du matériel de nettoiement silencieux et non polluant débroussailleuses électriques 023 8,Propreté
Du matériel de nettoiement silencieux et non polluant Du matériel de nettoiement silencieux et non polluant débroussailleuses électriques 023 15,Propreté
Pour que toutes les écoles du 18e aient des outils numériques innovants GUSTAVE ROUANET (7) ELEM,Education et jeunesse
Pour que toutes les écoles du 18e aient des outils numériques innovants PIERRE BUDIN (5) ELEM,Education et jeunesse
Pour que toutes les écoles du 18e aient des outils numériques innovants RICHOMME (9) ELEM,Education et jeunesse
#MusiquePourTous Conservatoire municipal du 14e arrondissement,Culture et patrimoine
#MusiquePourTous Instrumenthèque Bibliothèque Jean-Pierre Melville,Culture et patrimoine
Des sanitaires réhabilités pour les élèves du 11e groupe scolaire rue Servan,Education et jeunesse
Ré-enchanter les cours de récré des écoles de nos quartiers Ecole Elémentaire A et B 41 rue de Tanger,Cadre de vie
Des cantines agréables pour les élèves en quartiers populaires Cantine élémentaire A et B simon bolivar,Education et jeunesse
#ÉcoleDeRêve Ecole maternelle Thionville,Education et jeunesse
Espaces de travail publics Espaces de travail publics - Studyspace => La Permanence,Education et jeunesse
Pour une gestion de l'eau améliorée Fontaine Brumisateur,Environnement
Un 12e encore plus végétalisé ! Un 12e encore plus végétalisé ! / 07 - complément de financement Végétalisation du Viaduc des Arts (C - 002527),Cadre de vie
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
Equiper les écoles du 14ème en tableaux noirs numériques Equiper les écoles du 14ème-EE 3 rue d'Alésia,Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
Rue aux enfants - Parc Martin Luther King 17e Ludomouv'L'Assoce,Cadre de vie
La reconquête de la Petite Ceinture La reconquête de la Petite Ceinture / Subvention association  Halage,Cadre de vie
#VillePlusPropre Cendriers sondages,Propreté
Cultiver en ville Appel à projet jardins partagés,Environnement
+ de nature en ville Cultiver dans le jardin d'enfant Hutinel,Environnement
+ de nature en ville Cultiver dans le jardin d'enfant de l'Orme,Environnement
+ de nature en ville Cultiver dans la crèche Olympiade 1,Environnement
#AlimentationPourTous Les Hauts de Belleville,Solidarités
Street art et expression libre dans le 19e Oeuvres avec le Centquatre,Education et jeunesse
Paris plus propre : + de toilettes et + de technologie au service de la propreté Paris plus propre : + de toilettes et + de technologie au service de la propreté / Toilettes innovantes / toilettes sèches Sainte Perine,Propreté
"#VillePlusPropre 245 poubelles compactantes solaires ""Big Belly""",Propreté
#SousLesPavésDesFleurs #SousLesPavésDesFleurs / Mares et espaces de biodiversité dans les QP / Square Emile Gallé,Environnement
Trier ses déchets au plus près Composteur collectif 16,Propreté
Modernisation des espaces de vie du Centre Paris Anim' Valeyre TRANSFORMATION des espaces de vie du centre Anim' Valeyre,Education et jeunesse
Le marché couvert des Batignolles plus accessible un Marché sans marche,Solidarités
Les peintres et le quartier de l'Europe Les peintres et le quartier de l'Europe,Culture et patrimoine
Des toilettes confortables et adaptées pour nos enfants Toilettes Ecole Enfants d'Yzieu,Education et jeunesse
Le plaisir de lire dans les écoles et les lieux de vie du quartier ! 171740Le plaisir de lire dans l'EM A.Fournier,Education et jeunesse
Poursuivre l'ouverture de la Petite Ceinture Entre cours de Vincennes et rue de Volga,Cadre de vie
Cours d’écoles végétalisées pour grandir ensemble dans le 19e végétalisation cour école Palestine,Education et jeunesse
Des laveuses pour les trottoirs du 15e Des laveuses pour les trottoirs du 15e,Propreté
Un jeu éducatif pour lutter contre le racisme Production d'un jeu éducatif pour lutter contre le racisme,Solidarités
AUTI'CAFET MARAIS - une cafétéria solidaire AUTI'CAFET MARAIS,Solidarités
Contre les incivilités : pour des urinoirs design Urinoirs design pour le Canal Saint-Martin,Propreté
Refection du TEP Mouraud Refection du TEP mouraud Terrain de Foot,Sport
Faire respecter les limitations de vitesse rue de l'Ourcq Faire respecter les limitations de vitesse rue de l'Ourcq,Prévention et sécurité
Verdir et apaiser la rue des Pyrénées Verdir la rue des Pyrénées,Environnement
Faire du sport en plein air dans les jardins du 11e FAIRE DU SPORT AVEC DES AGRÈS DANS LES JARDINS DU 11E / 02 - square Jules Ferry,Sport
Une voirie pour toutes les mobilités Une voirie pour toutes les mobilités / Rue Stephenson entre Doudeauville et Myrrha,Mobilités
Une boîte à livres sur l'espace public Boîte à livres Place Hannah Arendt,Culture et patrimoine
Art dans la ville Art dans la ville - fresques dans les écoles,Culture et patrimoine
Modernisation des Centres Paris Anim’ du 19e Végétaliser le toit du centre solidarité Angèle Mercier,Education et jeunesse
Équiper les associations du 11e en matériel neuf Equiper les associations du 11e : Théatre du Local,Solidarités
Du sport pour toutes et tous dans les quartiers populaires Création d'un city stade au centre Sportif Didot,Sport
De belles cours oasis pour les enfants ! De belles cours oasis pour les enfants,Education et jeunesse
#ÉcoleDeRêve Expérimentation qualité de l'air - Ecole Avenue de la république,Education et jeunesse
Moderniser les équipements sportifs du 20e Rénovation des vestiaires et sanitaires du stade Maryse Hilsz,Sport
"Insonorisation et embellissement des réfectoires des écoles du 3ème Insonorisation, embellissement réfectoires école EM Chapon",Education et jeunesse
"Insonorisation et embellissement des réfectoires des écoles du 3ème Insononorisation, embellissement réfectoires écoles du 3ème",Education et jeunesse
"Des ordinateurs pour les écoles du 12eme Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Aidons les associations de la solidarité à mieux accueillir les personnes à la rue un nouveau bus Dentaire,Solidarités
+ de commerces dans les quartiers populaires CHEM'S ALIMENTATION,Attractivité et emploi
+ de commerces dans les quartiers populaires MAZALAY COUTURE,Attractivité et emploi
Rénovons les équipements sportifs et aquatiques du 12e Alain Mimoun : réfection du sol du gymnase,Sport
"Des ordinateurs pour les écoles du 12eme Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
"Des ordinateurs pour les écoles du 12eme Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Installation de tables de tri sélectif des déchets dans les réfectoires des cantines scolaires Installation de tables de tri sélectif des déchets dans les réfectoires des cantines scolaires,Environnement
Des espaces verts partagés dans les quartiers populaires Espace de biodiversité à vocation pédagogique Bois Dormoy,Environnement
"De la diversité commerciale et artisanale dans nos quartiers Sauvons Ste Marthe, quartier populaire d'art et d'artisanat",Attractivité et emploi
Restaurer et embellir les églises du 7e arrondissement Rénovation de la sacristie de Saint-Pierre-du-Gros-Caillou,Culture et patrimoine
Restauration de la Chapelle des Âmes de Notre-Dame-de-Lorette Restaurer la chapelle des Âmes à Notre-Dame-de-Lorette,Culture et patrimoine
Un 8e apaisé Un 8e apaisé - rue d'Argenson,Cadre de vie
Améliorer la qualité de vie dans les écoles du 5e EE St Jacques- Cours Oasis,Education et jeunesse
Améliorer la qualité de vie dans les écoles du 5e EM Cardinal Lemoine- collège Rognoni-salle de spectacle,Education et jeunesse
"Favoriser l’économie sociale, solidaire et circulaire La cafet' mobile des dames du mérice",Solidarités
Un 8e plus sportif Collège Octave Gréard - Le teqball,Sport
Un 8e apaisé Avenue George V,Cadre de vie
Des rues apaisées Mobilier - place martin nadaud,Cadre de vie
Nos espaces verts évoluent ! 05 - Amélioration de l’aire de jeux pour enfants du Mail de Bièvre,Environnement
Rénover nos écoles Du sport dans les écoles du 15e,Education et jeunesse
Amener la nature dans le 12e arrondissement 04 - Jardins comestibles- 10 écoles,Environnement
Embellir et rénover les écoles du 17ème EM Pereire - Rénovation des sanitaires,Education et jeunesse
Mieux grandir dans le 19e EM Cambrai - Mobilités douces,Education et jeunesse
Mieux grandir dans le 19e Embellir la ludothèque - Place Marcel Achard,Education et jeunesse
"Des espaces verts partagés dans les quartiers populaires Création d’un jardin partagé d’insertion, entre le Square Jessaint et les voies du train",Environnement
Des Tableaux Numériques Interactifs dans toutes les classes EE Chaptal,Education et jeunesse
Des Tableaux Numériques Interactifs dans toutes les classes EM Rochechouart,Education et jeunesse
Des équipements mobiles de solidarité avec les plus fragiles Cuisine mobile et légumerie,Solidarités
Bien grandir dans le 11e Des outils numériques dans les écoles primaires du 11 / EE Titon,Education et jeunesse
Bien grandir dans le 11e Des outils numériques dans les écoles primaires du 11 / EE 3 Bornes,Education et jeunesse
Rénover les gymnases du 19e Réhabilitation des Vestiaires,Sport
Solidarité avec les personnes vulnérables Création d'une boutique solidaire - Passerelles 17,Solidarités
"Culture, bien-être : pour la solidarité et l’accessibilité Une bibliothèque conviviale et pratique",Culture et patrimoine
S’adapter aux effets du réchauffement climatique à Paris 03 - Déployer des ombrières pour apporter de la fraîcheur dans l’espace public,Environnement
Aménager les canaux et développer la baignade Equipements écluses,Cadre de vie
Une voirie pour toutes les mobilités compteurs vélos,Mobilités
Réduire l'empreinte écologique des bâtiments Rénovation de l'ancienne chapelle Saint-Lazare,Solidarités
Favoriser la vie culturelle du quartier Belleville Saint-Maur Réalisation de fresques participatives,Culture et patrimoine
"Rafraichir la ville et promouvoir la biodiversité Création d'un potager pédagogique au Centre d'Excellence des Professions Culinaires,",Environnement
Faisons du 12e un arrondissement toujours plus culturel ! Réalisation de fresques quai de Bercy,Culture et patrimoine
Destination 2024 : le 19e à l'heure du sport Tennis de table à l'entrée Ouest du Parc de la Villette,Sport
Des vidéoprojecteurs interactifs pour les écoles du 6e Des vidéoprojecteurs interactifs pour l'EM ST André des arts,Education et jeunesse
Faisons du 12e un arrondissement toujours plus culturel ! Des espaces d’animations à la médiathèque Hélène Berr,Culture et patrimoine
"Des îlots de fraîcheur pour faire face aux canicules Paris, source de fraicheur - 03 - Revêtements innovants",Environnement
Rendre le 11e encore plus vert Embellir le Square de l'impasse des Jardiniers,Environnement
Des locaux équipés pour un quartier plus solidaire Equiper le local Toutes en santé,Solidarités
Lutter contre les inégalités d’accès Equiper des salles de cours de français,Solidarités
Aider les sans-abris et lutter contre la précarité menstruelle Remise aux normes locaux Entraide et Partage,Solidarités
"#TousRécup Bis Boutique Solidaire, aménagement et 4e boutique",Solidarités
La modernisation du centre sportif Georges Carpentier Acquisition de Matériel pour les associations,Sport
Végétalisons et sensibilisons aux enjeux écologiques 06-Végétaliser les toits du 12ème/Ecole 70 avenue Daumesnil,Environnement
Rénovons les bâtiments pour s’adapter au changement climatique Rénovons les bâtiments pour s’adapter au changement climatique - Collège Jean-François Oboen,Environnement
Améliorons les équipements des quartiers populaires du 12e Aire de jeux square Saint-Eloi modernisée et végétalisée,Cadre de vie
Une alimentation solidaire dans le 18e Association Activ'18 - Une alimentation solidaire dans le 18e,Solidarités
Embellir et verdir les murs publics de Paris Centre Réalisation d'une fresque rue des oiseaux,Cadre de vie
Equiper les écoles des quartiers populaires Des espaces de jeux inclusifs pour l'EM C.Pecqueur,Education et jeunesse
Végétalisons et sensibilisons aux enjeux écologiques 05-Un jardin intergénérationnel le long du périphérique au CHU Bastion de Bercy,Environnement
Pour un 6e arrondissement plus vert 03-Réfection du terre-plein du boulevard Raspail,Environnement
"De nouvelles Cours Oasis pour les écoles du 14e Cours Oasis - EE 20, rue  A Chantin",Education et jeunesse
Des espaces verts plus agréables pour petits et grands 02-Rénover l'aire de jeux dans le square Saint-Lambert,Environnement
Profiter des squares et de la Nature dans le 11e 05-Rénover les toilettes des squares du quartier Nation Alexandre Dumas,Environnement
Pour un 20e verdoyant 06-Pour des espaces verts rénovés - Aire de jeux du square Vaillant,Cadre de vie
Développer la collecte et l'utilisation de l'eau non potable 02-Réhabilitation de 120 appareils à l'eau non potable dans Paris,Environnement
#RefabriquonsÀParis Soutien au plan de transformation d’Ecod'air pour permettre le changement d’échelle de son activité parisienne,Attractivité et emploi
#TousRécup Nouveau mobilier extérieur durable et attractif - La Table des Matières,Solidarités
Améliorons les équipements des quartiers populaires du 12e École maternelle Carnot : inclusion numérique,Cadre de vie
"Améliorons les équipements des quartiers populaires du 12e École Lamoricière, Cinéclub en résidence",Cadre de vie
Rénovation du gymnase Biancotto : toiture et escalade Rehabilitation et agrandissement du mur d'escalade,Sport
Favoriser le sport de plein-air Des agrès dans les squares,Sport
Aménagements ludiques et sportifs pour les quartiers populaires Rénovation TEP Marcel Sembat,Sport
Réaménager une aire de jeu du parc Monceau et rénover la Naumachie Parc Monceau bac à sable,Cadre de vie
Rénover le square Parodi Rénover le square Parodi,Cadre de vie
Restauration de la chapelle Saint-Denis de l'église Saint-Sulpice Restaurer une chapelle de l'église SaintSulpice (chapelle SaintDenis),Culture et patrimoine
Végétaliser la placette sous la porte Saint-Martin Végétaliser la porte SaintMartin,Cadre de vie
Toujours plus de sport dans le 13e Achat de matériel sportif pour la baignade estivale,Sport
Equiper les écoles des quartiers prioritaires de tableaux numériques Equiper toutes les écoles des quartiers prioritaires du 10e de Tableaux Numériques Interactifs (TNI)/EE Aqueduc,Education et jeunesse
Profiter des jardins en famille 03 - Jouons au jardin de la Folie Titon !,Cadre de vie
Valorisons la Maison du Jardinage de Bercy 02 - Rendre visible la Maison du jardinage,Environnement
Rénover et enjoliver écoles et crèches EM 56 Rostropovitch,Education et jeunesse
Rénover et enjoliver écoles et crèches Halte garderie Caporal Peugeot -végétalisation mur,Education et jeunesse
Rénover les écoles du 20e Rénover les écoles du 20e / EE 104 Belleville - Sanitaires,Education et jeunesse
"Rénover statues, œuvres et monuments Installation de statues",Culture et patrimoine
Rénover les équipements sportifs des quartiers populaires Des panneaux d'information à Rousié et Biancotto,Sport
Agrémenter la promenade et valoriser le patrimoine du 19ème Chaises urbaines,Cadre de vie
"A vos graines, prêt.es ? Plantez ! 04 – végétalisons la place de la Garenne",Environnement
"Des lieux d’alimentation solidaires, durables et de convivialité Reliquat",Solidarités
Du sport pour toutes et tous dans les quartiers populaires Du padel au Centre sportif Poissonniers,Sport
Protéger les piétons et réduire les nuisances sonores Ralentisseurs et revêtements phoniques - 04/rue Quentin-Bauchard,Prévention et sécurité
"Diminuer les déchets, augmenter la récup’ Emmaüs France - ouverture d'une boutique dédiée à l'upcycling",Propreté
#TousRécup L'art & la récup - Travaux d'aménagement dans le 20e,Solidarités
Promouvoir l’économie circulaire et la réduction des déchets Carton plein - Mise en oeuvre d'une cyclo-logistique des biodéchets et du compost,Environnement
Rénovation des bains-douches Saint-Merri Rénovation des bains-douches Saint-Merri,Solidarités
Un revêtement anti-bruit rue Damesme Un revêtement anti-bruit rue Damesme,Cadre de vie
Sécurisation du carrefour Amiral Mouchez / Lemaignan Sécurisation du carrefour Amiral Mouchez / Lemaignan,Prévention et sécurité
Rénovation d'une aire de jeux au parc Monceau Rénovation d'une aire de jeux au parc Monceau,Education et jeunesse
Rendre les places Saint-Michel et Saint-André-des-Arts plus agréables Rendre les places Saint-Michel et Saint-André-des-Arts plus agréables,Environnement
Restauration des portes principales de Saint-Thomas-d’Aquin Restauration porte St Thomas d'Aquin,Culture et patrimoine
"Renaissance du cloître abbatial en végétal, square Laurent Prache RENAISSANCE DU CLOÎTRE ABBATIAL EN VEGETAL",Culture et patrimoine
"La rue Eugène Jumin, un trait d'union entre deux parcs La rue Jumin, un trait d'union vert et piéton entre 2 parcs",Cadre de vie
Une boîte à livres sur l'espace public Boîte à livres Place de Bitche,Culture et patrimoine
Aménager le boulevard de Belleville et ses contre-allées Brillant Boulevard de Belleville,Cadre de vie
Des cantines plus agréables pour nos enfants dans quatre écoles du 13e Réfectoire école élémentaire 103 CHATEAU DES RENTIERS,Education et jeunesse
Pour des trottoirs plus larges et plus confortables Pour des trottoirs plus larges et plus confortables,Mobilités
+ de végétal dans les quartiers populaires Jardin des Cendriers,Environnement
+ de nature en ville + de nature en ville / 02-Développer la biodiversité,Environnement
Cultiver en ville Jardin partagé - Square Clos Feuquières (15e),Environnement
Cultiver en ville Cultiver en ville / 17eme - Jardin partagé et serre - Square Paul Paray (17e),Environnement
Cultiver en ville Jardin partagé rue Richomme,Environnement
"Des kiosques pour faire la fête Square Carpeaux, Kiosque à musique",Cadre de vie
"Des kiosques pour faire la fête Square Monseigneur Maillet, Kiosque à musique et locaux jardiniers",Cadre de vie
Des jardins sur les murs Des jardins sur les murs / 75010 - mur végétalisé en face du 3 rue de Metz (école au 34 rue du Fb Saint Denis),Environnement
Des jardins sur les murs Des jardins sur les murs / 75003 - mur végétalisé 12 RUE DE LA PERLE,Environnement
Des jardins sur les murs Des jardins sur les murs / 75017 - mur végétalisé 5 RUE ERNEST ROCHE,Environnement
Des jardins sur les murs Des jardins sur les murs / 75013 - mur végétalisé 33 bis rue des Longues Raies,Environnement
Les œuvres d'art investissent la rue Les œuvres d'art investissent la rue / mur peint 8ème arrondissement,Culture et patrimoine
"Les œuvres d'art investissent la rue Art urbain au TEP Philippe Auguste, ADNA, de Philippe Baudelocque",Culture et patrimoine
Aménagement de locaux pour l'école Lagache Aménagement locaux ancien centre cuiseur pour école Lagache,Education et jeunesse
Place aux vélos dans le 12e Place aux vélos dans le 12e,Mobilités
Passage piéton sécurisé au croisement Championnet/Marcadet Passage piéton sécurisé au croisement Championnet/Marcadet,Prévention et sécurité
Végétaliser un mur et créer un jardin de couleurs et saveurs du collège Pierre-Alviset Végétalisation Collège Pierre Alviset,Education et jeunesse
Aménagement de l’espace cyclable rue Neuve Tolbiac Améliorer la circulation bus-vélo rue Neuve Tolbiac,Mobilités
Un square de la biodiversité sur la dalle Renoir-Lichtenberger square de la biodiversité sur la dalle Renoir-Lichtenberger,Environnement
Mille nouvelles places pour garer les vélos dans le 16ème 1 000 nouvelles places pour garer les vélos dans le 16ème,Mobilités
Mise en valeur de l’entrée du quartier Pigalle-Montmartre Mise en valeur de l’entrée du quartier Montmartre,Cadre de vie
