Titre de l'opération,Thématique
La reconquête de la Petite Ceinture / Subvention association  Halage,Cadre de vie
Cendriers sondages,Propreté
Appel à projet jardins partagés,Environnement
Cultiver dans le jardin d'enfant Hutinel,Environnement
Cultiver dans le jardin d'enfant de l'Orme,Environnement
Cultiver dans la crèche Olympiade 1,Environnement
Les Hauts de Belleville,Solidarités
Oeuvres avec le Centquatre,Education et jeunesse
Paris plus propre : + de toilettes et + de technologie au service de la propreté / Toilettes innovantes / toilettes sèches Sainte Perine,Propreté
"245 poubelles compactantes solaires ""Big Belly""",Propreté
#SousLesPavésDesFleurs / Mares et espaces de biodiversité dans les QP / Square Emile Gallé,Environnement
Composteur collectif 16,Propreté
TRANSFORMATION des espaces de vie du centre Anim' Valeyre,Education et jeunesse
un Marché sans marche,Solidarités
Les peintres et le quartier de l'Europe,Culture et patrimoine
Toilettes Ecole Enfants d'Yzieu,Education et jeunesse
171740Le plaisir de lire dans l'EM A.Fournier,Education et jeunesse
Entre cours de Vincennes et rue de Volga,Cadre de vie
végétalisation cour école Palestine,Education et jeunesse
Des laveuses pour les trottoirs du 15e,Propreté
Production d'un jeu éducatif pour lutter contre le racisme,Solidarités
AUTI'CAFET MARAIS,Solidarités
Urinoirs design pour le Canal Saint-Martin,Propreté
Refection du TEP mouraud Terrain de Foot,Sport
Faire respecter les limitations de vitesse rue de l'Ourcq,Prévention et sécurité
Verdir la rue des Pyrénées,Environnement
FAIRE DU SPORT AVEC DES AGRÈS DANS LES JARDINS DU 11E / 02 - square Jules Ferry,Sport
Une voirie pour toutes les mobilités / Rue Stephenson entre Doudeauville et Myrrha,Mobilités
Boîte à livres Place Hannah Arendt,Culture et patrimoine
Art dans la ville - fresques dans les écoles,Culture et patrimoine
Végétaliser le toit du centre solidarité Angèle Mercier,Education et jeunesse
Equiper les associations du 11e : Théatre du Local,Solidarités
Création d'un city stade au centre Sportif Didot,Sport
De belles cours oasis pour les enfants,Education et jeunesse
Expérimentation qualité de l'air - Ecole Avenue de la république,Education et jeunesse
Rénovation des vestiaires et sanitaires du stade Maryse Hilsz,Sport
"Insonorisation, embellissement réfectoires école EM Chapon",Education et jeunesse
"Insononorisation, embellissement réfectoires écoles du 3ème",Education et jeunesse
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
un nouveau bus Dentaire,Solidarités
CHEM'S ALIMENTATION,Attractivité et emploi
MAZALAY COUTURE,Attractivité et emploi
Alain Mimoun : réfection du sol du gymnase,Sport
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Installation de tables de tri sélectif des déchets dans les réfectoires des cantines scolaires,Environnement
Espace de biodiversité à vocation pédagogique Bois Dormoy,Environnement
"Sauvons Ste Marthe, quartier populaire d'art et d'artisanat",Attractivité et emploi
Rénovation de la sacristie de Saint-Pierre-du-Gros-Caillou,Culture et patrimoine
Restaurer la chapelle des Âmes à Notre-Dame-de-Lorette,Culture et patrimoine
Un 8e apaisé - rue d'Argenson,Cadre de vie
EE St Jacques- Cours Oasis,Education et jeunesse
EM Cardinal Lemoine- collège Rognoni-salle de spectacle,Education et jeunesse
La cafet' mobile des dames du mérice,Solidarités
Collège Octave Gréard - Le teqball,Sport
Avenue George V,Cadre de vie
Mobilier - place martin nadaud,Cadre de vie
05 - Amélioration de l’aire de jeux pour enfants du Mail de Bièvre,Environnement
Du sport dans les écoles du 15e,Education et jeunesse
04 - Jardins comestibles- 10 écoles,Environnement
EM Pereire - Rénovation des sanitaires,Education et jeunesse
EM Cambrai - Mobilités douces,Education et jeunesse
Embellir la ludothèque - Place Marcel Achard,Education et jeunesse
"Création d’un jardin partagé d’insertion, entre le Square Jessaint et les voies du train",Environnement
EE Chaptal,Education et jeunesse
EM Rochechouart,Education et jeunesse
Cuisine mobile et légumerie,Solidarités
Des outils numériques dans les écoles primaires du 11 / EE Titon,Education et jeunesse
Des outils numériques dans les écoles primaires du 11 / EE 3 Bornes,Education et jeunesse
Réhabilitation des Vestiaires,Sport
Création d'une boutique solidaire - Passerelles 17,Solidarités
Une bibliothèque conviviale et pratique,Culture et patrimoine
03 - Déployer des ombrières pour apporter de la fraîcheur dans l’espace public,Environnement
Equipements écluses,Cadre de vie
compteurs vélos,Mobilités
Rénovation de l'ancienne chapelle Saint-Lazare,Solidarités
Réalisation de fresques participatives,Culture et patrimoine
"Création d'un potager pédagogique au Centre d'Excellence des Professions Culinaires,",Environnement
Réalisation de fresques quai de Bercy,Culture et patrimoine
Tennis de table à l'entrée Ouest du Parc de la Villette,Sport
Des vidéoprojecteurs interactifs pour l'EM ST André des arts,Education et jeunesse
Des espaces d’animations à la médiathèque Hélène Berr,Culture et patrimoine
"Paris, source de fraicheur - 03 - Revêtements innovants",Environnement
Embellir le Square de l'impasse des Jardiniers,Environnement
Equiper le local Toutes en santé,Solidarités
Equiper des salles de cours de français,Solidarités
Remise aux normes locaux Entraide et Partage,Solidarités
"Bis Boutique Solidaire, aménagement et 4e boutique",Solidarités
Acquisition de Matériel pour les associations,Sport
06-Végétaliser les toits du 12ème/Ecole 70 avenue Daumesnil,Environnement
Rénovons les bâtiments pour s’adapter au changement climatique - Collège Jean-François Oboen,Environnement
Aire de jeux square Saint-Eloi modernisée et végétalisée,Cadre de vie
Association Activ'18 - Une alimentation solidaire dans le 18e,Solidarités
Réalisation d'une fresque rue des oiseaux,Cadre de vie
Des espaces de jeux inclusifs pour l'EM C.Pecqueur,Education et jeunesse
05-Un jardin intergénérationnel le long du périphérique au CHU Bastion de Bercy,Environnement
03-Réfection du terre-plein du boulevard Raspail,Environnement
"Cours Oasis - EE 20, rue  A Chantin",Education et jeunesse
02-Rénover l'aire de jeux dans le square Saint-Lambert,Environnement
05-Rénover les toilettes des squares du quartier Nation Alexandre Dumas,Environnement
06-Pour des espaces verts rénovés - Aire de jeux du square Vaillant,Cadre de vie
02-Réhabilitation de 120 appareils à l'eau non potable dans Paris,Environnement
Soutien au plan de transformation d’Ecod'air pour permettre le changement d’échelle de son activité parisienne,Attractivité et emploi
Nouveau mobilier extérieur durable et attractif - La Table des Matières,Solidarités
École maternelle Carnot : inclusion numérique,Cadre de vie
"École Lamoricière, Cinéclub en résidence",Cadre de vie
Rehabilitation et agrandissement du mur d'escalade,Sport
Des agrès dans les squares,Sport
Rénovation TEP Marcel Sembat,Sport
Parc Monceau bac à sable,Cadre de vie
Rénover le square Parodi,Cadre de vie
Restaurer une chapelle de l'église SaintSulpice (chapelle SaintDenis),Culture et patrimoine
Végétaliser la porte SaintMartin,Cadre de vie
Achat de matériel sportif pour la baignade estivale,Sport
Equiper toutes les écoles des quartiers prioritaires du 10e de Tableaux Numériques Interactifs (TNI)/EE Aqueduc,Education et jeunesse
03 - Jouons au jardin de la Folie Titon !,Cadre de vie
02 - Rendre visible la Maison du jardinage,Environnement
EM 56 Rostropovitch,Education et jeunesse
Halte garderie Caporal Peugeot -végétalisation mur,Education et jeunesse
Rénover les écoles du 20e / EE 104 Belleville - Sanitaires,Education et jeunesse
Installation de statues,Culture et patrimoine
Des panneaux d'information à Rousié et Biancotto,Sport
Chaises urbaines,Cadre de vie
04 – végétalisons la place de la Garenne,Environnement
Reliquat,Solidarités
Du padel au Centre sportif Poissonniers,Sport
Ralentisseurs et revêtements phoniques - 04/rue Quentin-Bauchard,Prévention et sécurité
Emmaüs France - ouverture d'une boutique dédiée à l'upcycling,Propreté
L'art & la récup - Travaux d'aménagement dans le 20e,Solidarités
Carton plein - Mise en oeuvre d'une cyclo-logistique des biodéchets et du compost,Environnement
Rénovation des bains-douches Saint-Merri,Solidarités
Un revêtement anti-bruit rue Damesme,Cadre de vie
Sécurisation du carrefour Amiral Mouchez / Lemaignan,Prévention et sécurité
Rénovation d'une aire de jeux au parc Monceau,Education et jeunesse
Rendre les places Saint-Michel et Saint-André-des-Arts plus agréables,Environnement
Restauration porte St Thomas d'Aquin,Culture et patrimoine
RENAISSANCE DU CLOÎTRE ABBATIAL EN VEGETAL,Culture et patrimoine
"La rue Jumin, un trait d'union vert et piéton entre 2 parcs",Cadre de vie
Boîte à livres Place de Bitche,Culture et patrimoine
Brillant Boulevard de Belleville,Cadre de vie
Réfectoire école élémentaire 103 CHATEAU DES RENTIERS,Education et jeunesse
Pour des trottoirs plus larges et plus confortables,Mobilités
Jardin des Cendriers,Environnement
+ de nature en ville / 02-Développer la biodiversité,Environnement
Jardin partagé - Square Clos Feuquières (15e),Environnement
Cultiver en ville / 17eme - Jardin partagé et serre - Square Paul Paray (17e),Environnement
Jardin partagé rue Richomme,Environnement
"Square Carpeaux, Kiosque à musique",Cadre de vie
"Square Monseigneur Maillet, Kiosque à musique et locaux jardiniers",Cadre de vie
Des jardins sur les murs / 75010 - mur végétalisé en face du 3 rue de Metz (école au 34 rue du Fb Saint Denis),Environnement
Des jardins sur les murs / 75003 - mur végétalisé 12 RUE DE LA PERLE,Environnement
Des jardins sur les murs / 75017 - mur végétalisé 5 RUE ERNEST ROCHE,Environnement
Des jardins sur les murs / 75013 - mur végétalisé 33 bis rue des Longues Raies,Environnement
Les œuvres d'art investissent la rue / mur peint 8ème arrondissement,Culture et patrimoine
"Art urbain au TEP Philippe Auguste, ADNA, de Philippe Baudelocque",Culture et patrimoine
Aménagement locaux ancien centre cuiseur pour école Lagache,Education et jeunesse
Place aux vélos dans le 12e,Mobilités
Passage piéton sécurisé au croisement Championnet/Marcadet,Prévention et sécurité
Végétalisation Collège Pierre Alviset,Education et jeunesse
Améliorer la circulation bus-vélo rue Neuve Tolbiac,Mobilités
square de la biodiversité sur la dalle Renoir-Lichtenberger,Environnement
1 000 nouvelles places pour garer les vélos dans le 16ème,Mobilités
Mise en valeur de l’entrée du quartier Montmartre,Cadre de vie
Agrandir et végétaliser les trottoirs du bas de la rue Lepic,Cadre de vie
Réaménagement rue Mazagran et parvis la poste Bonne Nouvelle,Cadre de vie
"Réfection du sol, place Laurent Terzieff et PascaledeBoysson",Cadre de vie
Installation appareils fitness producteurs d'électricité,Cadre de vie
Prolongement de la coulée verte jusqu’au jardinet Brune-Vercingétorix,Cadre de vie
#SousLesPavésDesFleurs / Suppression des entourages des arbres,Environnement
Végétalisons le quartier Belleville Saint-Maur ! / 01-arches végétales rue de Vaucouleurs.,Cadre de vie
Humanisation CHRS Relais des carrières,Solidarités
Remplacement sols CPA Dunois,Education et jeunesse
En piste / Canal de l'Ourcq,Mobilités
Mettre en valeur la rue G. et M. Politzer et métamorphoser la place en terrain de pétanque fleuri,Environnement
Végétalisation : l’ambition verte du 12e / végétaliser le 74 bd de Bercy,Environnement
Hôtel insectes Square Pierre de Gaulle,Environnement
Lauréat Coup de Pouce Commerce: LE CHIEN DE LA LUNE,Attractivité et emploi
Réfectoire école élémentaire 47 IVRY,Education et jeunesse
VPI école élémentaire SAINT CHARLES,Education et jeunesse
VPI école maternelle CEPRE,Education et jeunesse
VPI école maternelle ALLERAY,Education et jeunesse
VPI école élémentaire VIGEE LEBRUN,Education et jeunesse
VPI école maternelle LACORDAIRE,Education et jeunesse
VPI école polyvalente CONVENTION,Education et jeunesse
Marelles et jeux école élémentaire SAUSSURE,Education et jeunesse
Marelles et jeux école élémentaire SAINT OUEN,Education et jeunesse
"Pour un arrondissement « treize » accessible aux personnes handicapées,  à mobilité réduite",Mobilités
Stade Porte d'Asnières,Santé
Gymnase Choisy,Cadre de vie
Fitness Sq. Wyszynski,Sport
Fitness Sq. Réjane,Sport
Fitness Sq. Karcher,Sport
Eco pâturage périphérique et cimetières,Environnement
CPA Mathis,Education et jeunesse
Des fontaines à boire dans tout Paris Fontaine Arceau,Cadre de vie
Des fontaines à boire dans tout Paris Fontaine Arceau 0397,Cadre de vie
Rue aux enfants - Rue des Prêtres St Séverin (5e),Cadre de vie
L'accorderie,Solidarités
Plus loin,Solidarités
La reconquête de la Petite Ceinture / Aménagement PC19,Cadre de vie
mur végétalisé jardin Nelson Mandela,Environnement
BVRAC - Epicerie 100% Vrac,Solidarités
Essaimage des repair café à Paris (1/10),Solidarités
Jardin partagé 20eme - square Télégraphe,Environnement
#SousLesPavésDesFleurs / végétaliser les clôtures parisiennes - 75020 - Ecole Le Vau,Environnement
Tracé Foot américain - CS Suzanne Lenglen,Sport
Sanitaires école maternelle PALESTINE,Education et jeunesse
Un auvent pour les enfants de l'école Chernoviz,Education et jeunesse
Restaurer les peintures murales de St-Pierre-du-Gros-Caillou,Culture et patrimoine
Un podium pour les écoles du quartier,Education et jeunesse
Un lieu de spectacle pour les écoles,Culture et patrimoine
Restauration des murs de l'ancienne ligne d'Auteuil,Cadre de vie
"Rénover les trottoirs rues Saint-Maur, Oberkampf et Timbaud",Cadre de vie
Embellissement des escaliers du passage du Pont-aux-Biches,Culture et patrimoine
Rénovation de la rue de Belleville,Cadre de vie
Une salle dédiée aux Sports de Combat dans le 18e,Sport
Des places de stationnement pour les deux roues,Prévention et sécurité
De nouvelles rues intelligentes dans le 15e,Environnement
Rue Dautancourt,Environnement
De nouveaux équipements dans les squares et jardins du 12e / jardin de Reuilly,Cadre de vie
Embellissement d’un poumon vert du Quartier St-Bernard / square Majorelle,Environnement
Signalétique Viaduc des Arts sur la passerelle bvd Diderot (côté gare de Lyon),Cadre de vie
Cultiver dans les écoles / Ecole 3/5,Education et jeunesse
Cultiver dans les écoles / Ecole 2/4,Education et jeunesse
Cultiver dans les écoles / Ecole 5/6,Education et jeunesse
Cultiver dans les écoles / Ecole 11/17,Education et jeunesse
Cultiver dans les écoles / Ecole 10/23,Education et jeunesse
Cultiver dans les écoles / Ecole 17/20,Education et jeunesse
Cultiver dans les écoles / Ecole 10/30,Education et jeunesse
Cultiver dans les écoles / Ecole 3/21,Education et jeunesse
Reconquête urbaine / Quartier St Blaise,Cadre de vie
Embellir les cours des écoles du 18e arrondissement / Ecole 22,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 35,Education et jeunesse
Du matériel de nettoiement silencieux et non polluant Balayeuses Ramasseuses électriques 3,Propreté
Du matériel de nettoiement silencieux et non polluant Aspirateur Glutton 020 4,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 28,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 34,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 40,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 74,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 88,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 102,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 105,Propreté
DOUDEAUVILLE (7) ELEM,Education et jeunesse
Collège Gustave Flaubert,Education et jeunesse
Instrumenthèque Bibliothèque Hergé,Culture et patrimoine
élémentaire 10 avenue Lamoricière,Education et jeunesse
Toilettes groupe scolaire rue martel,Education et jeunesse
Ecole maternelle Réunion,Education et jeunesse
Bibliothéque Lancry,Culture et patrimoine
Du vert à tous les étages / 20eme - toit école Belleville,Environnement
ESI,Solidarités
Petite Roquette,Solidarités
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Equiper les écoles du 14ème- EE Antoine Chantin,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
Des chaussées rénovées ! - Avenue Edison,Cadre de vie
AMOUR DU PAYS,Attractivité et emploi
Cendriers sondage,Propreté
Cendriers sondage,Propreté
Cultiver dans la crèche Martyrs,Environnement
Cultiver dans la crèche Bossuet,Environnement
Cultiver dans la crèche Edouard Robert,Environnement
Cultiver dans la crèche Longues Raies,Environnement
Cultiver dans la crèche Pointe d'Ivry,Environnement
Cultiver dans la crèche Solidarité,Environnement
Des jardins sur les murs / Achat de nacelles pour entretien des murs végétalisés sur voie publique,Environnement
Composteur collectif jardin Truillot,Environnement
Espaces de travail publics - Station W,Education et jeunesse
+ de nature en ville / 04-Mares et espaces de biodiversité/ square Paul Langevin,Environnement
+ de nature en ville / 04-Mares et espaces de biodiversité/ Bois de Vincennes,Environnement
Mares et espaces de biodiversité / Rivière Parc Georges Brassens,Environnement
projets dans le 15ème,Environnement
"Jardin partagé , potager aromatique légumes anciens / création d'un jardin partagé rue Eugène Atget",Environnement
Plantons des arbres rue de Suez et rue Championnet !,Environnement
Rénovation de l’Île aux Cygnes,Cadre de vie
Rénovation de la chaussée rue Monceau,Cadre de vie
Rénovation de la fontaine place Jussieu,Culture et patrimoine
Rendre plus conviviale la rue Georg Friedrich Haendel,Cadre de vie
Des couleurs sur l'escalier de la rue Levert,Culture et patrimoine
Poursuivre le réaménagement du quartier Bargue/Falguière,Cadre de vie
Amélioration de l'accueil du Bassin de l'école Polytechnique,Sport
"Des rues plus propres peinture anti-urine dite ""hydrophobe""",Culture et patrimoine
Rénovation des terrains de basket sous le métro aérien Glacière,Sport
Rue Ramus,Environnement
+ de nature en ville / 07-Potagers dans les crèches GS Simone Veil à Paris 14eme,Environnement
Cendriers sur l’espace public,Propreté
Subvention la Petite Rockette,Solidarités
Le plaisir de lire dans l' EE A.Fournier,Education et jeunesse
Des toilettes neuves pour toutes les écoles EE J.Jaures,Education et jeunesse
300 panneaux bois valorisation actions en faveur de la biodiversité,Environnement
Le 13e innove pour toujours plus d'accessibilité /CF Bobillot/ Tolbiac,Solidarités
Développer les vélo-écoles et les assos vélos,Mobilités
De nouvelles rues intelligentes dans le 15e - enrobés phoniques,Environnement
Basket 3*3 dans les quartiers populaires,Sport
D- SUIV 002785 - #SousLesPavésDesFleurs / Du gazon sur les trottoirs / Debitumage 2b rue du Jourdain,Environnement
Aménagement de l'accueil et laverie de l'Espace Solidarité,Solidarités
Améliorer les conditions d'accueil dans les bains-douches,Solidarités
EM Epée de bois - Création d'un auvent,Education et jeunesse
Plateforme de visualisation et d’échange sur les mesures citoyennes,Environnement
Des outils numériques dans les écoles primaires du 11 - EE Belleville A,Education et jeunesse
Médiathèque Marguerite Duras : rendre plus attractif l'extérieur de la médiathèque,Environnement
collège Doisneau,Environnement
Acheter des livres pour les écoles,Education et jeunesse
Végétaliser le mur des Arènes de Montmartre,Environnement
Aménager une salle polyvalente au Shakirail,Solidarités
Des outils numériques dans les écoles primaires du 11 / EE 98 République,Education et jeunesse
Végétalisons Paris Centre : Bibliothèque Marguerite Audoux lieu de fraîcheur,Culture et patrimoine
Adaptation salle polyvalente pour personnes en situation de handicap,Solidarités
Sécurisation buanderie pension de famille,Solidarités
04 - Proposer un diagnostic (par thermographie) de bâtiments,Environnement
Plateforme Solid-R RéaVie,Attractivité et emploi
Rénovation du jardin Emmi Pickler,Environnement
Grille sur parapet - canal st Martin,Cadre de vie
Fresque gymnase Fragonard,Culture et patrimoine
Bancs,Environnement
Equipements vélos (pompe et borne de réparation vélos),Education et jeunesse
Rachat de locaux commerciaux dans le quartier Blanche/Pigalle,Attractivité et emploi
Tribunes de Ladoumègue,Sport
Coopération et modularité pour la cour de l'école maternelle R.Lenoir,Education et jeunesse
27/2Traçage au gymnase Fédération,Sport
Toiture et Jardin au CS Carnot,Cadre de vie
Modernisation/ insonorisation de la Ferronerie / CPA Pina Baush,Culture et patrimoine
Patrimoine et Culture  à Bel-Air Nord,Cadre de vie
Terrasse partagée à l’EHPAD Julie Siegfried,Environnement
Des murs végétalisés pour le 17ème ! / mur végétalisé rue Christine de Pisan,Environnement
Du sport en extérieur / création d’un parcours d'orientation au sein du parc Martin-Luther-King,Environnement
Des équipements techniques et pédagogiques pour Réglisses,Education et jeunesse
EE Pouchet - Rénovation des sanitaires,Education et jeunesse
"Envie, boutique et SAV de matériel médical",Solidarités
"Travail et Vie, modernisation et déménagement",Attractivité et emploi
"ASPP, réemploi vaisselle",Solidarités
Végétaliser les toits d'école : une climatisation naturelle pour les enfants,Education et jeunesse
Embellissement et pergola pour le jardin partagé Louis blanc,Environnement
Adapter la médiathèque Marguerite Yourcenar au changement climatique,Culture et patrimoine
Renover la facade ouest de St Augustin,Culture et patrimoine
chapelle saint Martin,Culture et patrimoine
Des boites à livres dans tous les parcs et jardins du 17ème,Culture et patrimoine
Des équipements pour un territoire zéro chômeur ! - Association La Compagnie du 20°,Solidarités
